id,zip_type,city,valid_from,onrp,communitynumber_bfs,country_id/id,sort,lang,additional_digit,post_delivery_through,state_id/id,name
zip_6520,80,Interlaken Postauto BE Ober,1996-09-04,6520,581,base.ch,0,1,76,7281,l10n_ch_states.state_BE,3800
zip_6524,80,Basel Postauto Nordwestschw,1996-03-14,6524,2701,base.ch,0,1,76,2439,l10n_ch_states.state_BS,4000
zip_6525,80,Luzern Postauto Zentralschw,1996-02-26,6525,1061,base.ch,0,1,76,3202,l10n_ch_states.state_LU,6000
zip_6526,80,Uznach Postauto Linth-SZ-GL,1996-02-26,6526,3339,base.ch,0,1,76,7700,l10n_ch_states.state_SG,8730
zip_6527,80,St. Gallen Postauto SG-Azel,1998-04-14,6527,3203,base.ch,0,1,76,5204,l10n_ch_states.state_SG,9001
zip_6531,40,Basel,1995-08-30,6531,2701,base.ch,0,1,0,2452,l10n_ch_states.state_BS,4070
npa_4524 Balmberg,20,Balmberg,1996-09-12,6549,2541,base.ch,0,1,2,2730,l10n_ch_states.state_SO,4524
npa_4524 Oberbalmberg,20,Oberbalmberg,1996-09-12,6550,2541,base.ch,0,1,3,2730,l10n_ch_states.state_SO,4524
npa_6156 Luthern Bad,20,Luthern Bad,2002-04-01,6551,1135,base.ch,1,1,2,3310,l10n_ch_states.state_LU,6156
zip_6552,80,Baden 1 Zustellung,2003-07-01,6552,4021,base.ch,0,1,60,6552,l10n_ch_states.state_AG,5400
npa_6260 Mehlsecken,20,Mehlsecken,1998-05-25,6554,1140,base.ch,1,1,4,7692,l10n_ch_states.state_LU,6260
zip_6555,30,Muralto,1995-12-18,6555,5120,base.ch,0,3,0,6555,l10n_ch_states.state_TI,6602
zip_6556,80,Entlebuch Versandzentrum,2009-04-01,6556,1002,base.ch,0,1,0,8301,l10n_ch_states.state_LU,6161
npa_6677 Aurigeno,20,Aurigeno,2014-01-01,6560,5317,base.ch,1,3,1,3693,l10n_ch_states.state_TI,6677
zip_6561,30,Gossau SG,1996-06-10,6561,3443,base.ch,0,1,0,6561,l10n_ch_states.state_SG,9201
zip_6562,80,Lugano 2,2008-01-01,6562,5210,base.ch,0,3,2,6562,l10n_ch_states.state_TI,6900
zip_6564,80,Locarno 4 Solduno,2008-12-01,6564,5113,base.ch,0,3,5,3621,l10n_ch_states.state_TI,6600
zip_6565,40,Frauenfeld Kant. Verwaltung,1996-08-06,6565,4566,base.ch,0,1,0,4808,l10n_ch_states.state_TG,8510
zip_6572,40,Bern Swisscom,2008-05-01,6572,351,base.ch,0,1,0,9004,l10n_ch_states.state_BE,3050
zip_6573,80,Lugano 8,2008-01-01,6573,5192,base.ch,0,3,8,5690,l10n_ch_states.state_TI,6900
zip_6574,80,Lugano 4,2008-01-01,6574,5192,base.ch,0,3,4,6574,l10n_ch_states.state_TI,6900
zip_6575,80,Lugano 6,2008-01-01,6575,5192,base.ch,0,3,6,3855,l10n_ch_states.state_TI,6900
npa_7431 Obermutten,20,Obermutten,1996-06-14,6585,3503,base.ch,0,1,2,4237,l10n_ch_states.state_GR,7431
